VPID,IC1,Leman1,Leman2,Leman3,Leman4,Leman5,Leman6,Milne,Collins,rating,song,rhythm,chordnumber,nonmusician,presentorder,valence,arousal
2203,4.6739,1.2945125601,1.0880129453,0.9646530633,1.7379899851,1.3376170138,1.1292832906,0.6001849317,-106949.059540552,52,1,2,27,1,22,6,5
2203,2.601,1.2563388788,1.1284911175,1.0816604172,1.77779746,1.474847774,1.3447138824,0.4154672127,-147088.115638323,125,1,2,28,1,22,6,5
2203,1.8278,1.4612124515,1.3458035402,1.2180004832,2.1156656398,1.7795665288,1.5089919048,0.4154672127,-163743.189056994,381,1,2,29,1,22,6,5
2203,0.78163,1.3353858945,1.2267290861,1.1787087237,1.953086936,1.6850186014,1.5524919273,0.4154672127,-155540.391124082,375,1,2,30,1,22,6,5
2204,3.4824,1.8425434341,1.8111800393,1.7951419271,3.3102701479,3.1537908185,3.0797420799,NaN,-20511.4676529974,0,1,3,1,1,18,4,3
2204,4.5926,1.3661393747,1.2240868911,1.1420391336,1.9887219277,1.6944193811,1.5455011195,0.4154672127,-75347.4228239819,58,1,3,2,1,18,4,3
2204,3.3981,1.2224465035,1.0660340772,0.9787700403,1.7549305308,1.4489664543,1.2975871733,0.4967404454,-111904.486551341,0,1,3,3,1,18,4,3
2204,17.258,1.3534870863,1.306531876,1.2938156568,2.0704606933,1.8814376367,1.803729162,0.2882251974,-121749.894970018,647,1,3,4,1,18,4,3
2204,0.57896,1.5113140486,1.3901953888,1.3259154757,2.1834319261,1.8454693131,1.6968546973,0.2368079701,-156279.518465102,782,1,3,5,1,18,4,3
2204,11.317,1.2732798204,1.086371905,0.9840378313,1.7873965534,1.4405395822,1.2714516669,0.4154672127,-164802.177889525,407,1,3,6,1,18,4,3
2204,11.616,1.6534487073,1.4630098989,1.3011165608,2.3666357484,1.8693028898,1.5674337594,0.1605090043,-172636.920219005,306,1,3,7,1,18,4,3
2204,5.4017,1.1629667953,0.9572361668,0.8554681741,1.6273344225,1.2680713509,1.1029207687,0.3374628045,-158714.396258485,189,1,3,8,1,18,4,3
2204,10.266,1.2815205858,1.2305381318,1.2278562102,1.9338424972,1.7194310575,1.6400262662,0.540312135,-150198.71210642,283,1,3,9,1,18,4,3
2204,0.1129,1.4904617293,1.3246211028,1.2184604593,2.1116084279,1.7053764635,1.5016981325,0.2368079701,-174160.083672533,152,1,3,10,1,18,4,3
2204,7.1761,1.3072664067,1.1495125891,1.0734955782,1.8508529208,1.5331182075,1.3874539163,0.4154672127,-179321.921239774,245,1,3,11,1,18,4,3
2204,3.3977,1.2206716704,1.0656595035,0.9795345463,1.7361903285,1.4235505206,1.2687658888,0.4967404454,-179696.745352382,94,1,3,12,1,18,4,3
2204,17.258,1.3547734759,1.3145287105,1.3057654704,2.071326927,1.8783221888,1.7896623313,0.2882251974,-166470.62390447,206,1,3,13,1,18,4,3
2204,0.42113,1.5156974108,1.3781538316,1.2848110402,2.1746629727,1.8075345509,1.610659472,0.2368079701,-185771.023359364,216,1,3,14,1,18,4,3
2204,5.206,1.2683633807,1.0804737816,0.9767437767,1.7898579032,1.4365141719,1.260311868,0.4154672127,-184266.533148887,0,1,3,15,1,18,4,3
2204,11.513,1.6587502628,1.4597067592,1.2816817167,2.3594466306,1.8512956776,1.5290471255,0.1605090043,-185476.533908542,162,1,3,16,1,18,4,3
2204,4.2356,1.1598703185,0.9553631676,0.8566110275,1.6248284296,1.2674884955,1.1037947526,0.3374628045,-167188.125742819,401,1,3,17,1,18,4,3
2204,5.6213,1.1364918068,1.036371543,0.9736007504,1.6906702521,1.4330469671,1.287447423,0.6555519369,-152509.668644338,441,1,3,18,1,18,4,3
2204,7.6736,1.7585103167,1.54599135,1.3623767283,2.3662808591,1.8715315601,1.5664754232,0.0883909924,-146641.574514608,555,1,3,19,1,18,4,3
2204,10.537,1.2942664448,1.1313070981,1.0275579589,1.8431536184,1.5283800779,1.3366827622,0.5013549411,-157114.249708559,224,1,3,20,1,18,4,3
2204,12.409,1.4162255258,1.3087804137,1.2534767272,2.0451346753,1.7346156155,1.5759247082,0.3066096767,-145773.033121733,111,1,3,21,1,18,4,3
2204,7.6684,1.3852804453,1.2745061855,1.2256933338,1.995325715,1.7318654617,1.6100541868,0.2809264168,-148154.658181864,531,1,3,22,1,18,4,3
2204,5.0307,1.7794333208,1.6057151087,1.4781852939,2.5162401042,2.063505105,1.8072402937,0.0883909924,-148280.470515045,282,1,3,23,1,18,4,3
2204,10.467,1.2705952015,1.1101921202,1.0377676849,1.8064177641,1.5118422111,1.3810761998,0.5013549411,-158172.859796447,158,1,3,24,1,18,4,3
2204,4.9149,1.4625830482,1.1953684357,1.0073436312,1.9358269135,1.4543335873,1.1820540754,0.2416037146,-142950.929193253,102,1,3,25,1,18,4,3
2204,7.5939,1.0813652917,0.9076938615,0.8098559707,1.5645691677,1.2404378613,1.060930635,0.4154672127,-167107.956989994,583,1,3,26,1,18,4,3
2204,4.6739,1.2810715464,1.0740184629,0.9508690867,1.7288471065,1.3289902546,1.1204856774,0.6001849317,-104008.149532935,617,1,3,27,1,18,4,3
2204,2.601,1.2236778486,1.099652483,1.0538167326,1.7685660055,1.4646004623,1.3340961939,0.4154672127,-144959.892416773,380,1,3,28,1,18,4,3
2204,1.8278,1.4635130827,1.3447488014,1.2147652578,2.1086800986,1.7726401954,1.5022553261,0.4154672127,-160859.366767847,295,1,3,29,1,18,4,3
2204,0.78163,1.2993850892,1.1961834749,1.1495658664,1.9468596233,1.678403201,1.5449355292,0.4154672127,-153772.896780282,231,1,3,30,1,18,4,3
2205,3.4824,1.7980415387,1.7631951363,1.7454327438,3.2021343854,3.045208132,2.9713399706,NaN,-19962.6014546629,0,1,1,1,1,7,5,5
2205,4.5926,1.3609648523,1.2225950473,1.1423503847,1.9891795016,1.6956893806,1.5471309001,0.4154672127,-75420.0678281694,0,1,1,2,1,7,5,5
2205,3.3981,1.2297207796,1.0779004882,0.9927244934,1.7644488066,1.4591723151,1.3082130072,0.4967404454,-110618.060055119,331,1,1,3,1,7,5,5
2205,17.258,1.3701642015,1.3224130602,1.3087126737,2.0836850028,1.8960810359,1.8187841134,0.2882251974,-121236.110136911,331,1,1,4,1,7,5,5
2205,0.57896,1.5070403427,1.3954511634,1.3358135497,2.1982298805,1.8658632619,1.7189673515,0.2368079701,-155871.941326215,331,1,1,5,1,7,5,5
2205,11.317,1.2719220482,1.0889842648,0.9891575939,1.7862350532,1.4419565488,1.2750213077,0.4154672127,-164508.664077151,331,1,1,6,1,7,5,5
2205,11.616,1.6466538415,1.4595816094,1.3005090783,2.3619108899,1.8670747768,1.5672743323,0.1605090043,-170861.351290381,331,1,1,7,1,7,5,5
2205,5.4017,1.1749752529,0.9757912818,0.8765935161,1.6423478715,1.2830801323,1.1174300511,0.3374628045,-158503.117861623,512,1,1,8,1,7,5,5
2205,10.266,1.2994002596,1.2472779114,1.2436089732,1.9433549193,1.7302141845,1.6523165979,0.540312135,-149475.404589582,630,1,1,9,1,7,5,5
2205,0.1129,1.4853692204,1.3317029621,1.2316096707,2.1258318554,1.724049009,1.5211079571,0.2368079701,-174418.805098762,265,1,1,10,1,7,5,5
2205,7.1761,1.3060142163,1.1527197283,1.0792872041,1.850560635,1.5343739997,1.390023919,0.4154672127,-179391.581885657,265,1,1,11,1,7,5,5
2205,3.3977,1.2294918641,1.0800665312,0.9969211056,1.7467817937,1.4352617509,1.2813503521,0.4967404454,-178440.541075414,115,1,1,12,1,7,5,5
