Unnamed: 0,id,rating,rating_sd,rating_se,dataset,chord_size,name,chord_nro,genre,register,pitchlow,pitchhigh,pitchrange,gill_09_harmonicity,har_18_harmonicity,milne_13_harmonicity,parn_88_root_ambig,parn_94_complex,stolz_15_periodicity,bowl_18_min_freq_dist,hutch_78_roughness,seth_93_roughness,vass_01_roughness,wang_13_roughness,jl_12_tonal,har_19_corpus,har_19_composite,sharpness,sproll,spflux,keyclar,spcentr,spirreg,Forte,neg_log_prob,CorpPop,CorpJazz,CorpClas,TDL,TDL1,register_N,midi,pc,r3_roughness,r3_sethares_dissonance,r3_helmholtz_kang,r3_stumpf_fusion,r3_sensory_pleasantness,r3_inharmonicity,r3_harmonic_deviation
110,tr51c,5.1968531479021,0.850287308,0.155240513,bowl18,3,tr51c,,,59,53,65,12,0.0527777777777778,0.942577195756561,0.710131347576048,2.04939015319192,0.49166637044763,-2.48373703727744,72.3275349115601,0.120244846984398,0.532054532612184,1.10619374312973,0.690012022477156,3,1.0,1.10844993487152,0.744039,957.555,3.91551,0.411395,0.633045,0.74363,2-6,7.25009767181935,11.1300541003761,8.40341790009005,7.25009767181935,1,1,4.85714285714286,53-59-65,0-6-12,0.3734786808490753,0.4763360619544983,0.6030438542366028,0.33746591210365295,0.449184775352478,0.6625341176986694,0.5317787528038025
111,te69c,5.09090909090909,0.661,0.121,bowl18,4,te69c,,,59,56,65,9,0.112962962962963,0.851740027175046,0.675052507383902,2.16024689946929,0.212760140428776,-4.87744375108173,25.4295319690724,0.395434925209441,1.93655346695736,4.66867920451064,1.06565479688256,3,1.0,0.500955962059263,0.79692,1049.74,7.9406,0.736764,0.722514,0.607562,4-22B,8.97748579111647,5.52518358386449,9.85387705198279,8.97748579111647,1,1,4.85714285714286,56-58-60-65,0-2-4-9,0.5888735055923462,0.8938575983047485,0.5097970962524414,0.2612568140029907,0.1681881994009018,0.738743245601654,0.43821048736572266
112,te78c,5.09090909090909,0.758,0.138,bowl18,4,te78c,,,58,55,66,11,0.0584126984126984,0.690686465348618,0.6227306588088,2.36643191323985,0.1174246926155,-4.70792577480357,24.0022820091254,0.448594730409528,1.97907317941214,4.43811091908811,1.16050717624176,3,2.38478053078751,0.271773118285889,0.794616,1059.5,10.6546,0.550706,0.729638,0.451501,4-13A,8.97748579111647,9.79488103356445,12.051101629319,8.97748579111647,1,1,3.57142857142857,55-57-60-66,0-2-5-11,0.7405361533164978,0.9074777364730835,0.39582619071006775,0.2483982890844345,0.15487267076969147,0.7516017556190491,0.36704617738723755
113,te80c,5.09090909090909,0.711,0.13,bowl18,4,suspended 2nd + tt,,,60,56,63,7,0.0791666666666667,0.792841884635678,0.678210185899313,2.29128784747792,0.0404830465503031,-5.1172832549574,17.4622158046733,0.516416035389168,2.11586077848602,5.3316716288026,1.08575575400136,4,1.59639251268661,0.261976119509102,0.795817,1068.59,9.24674,0.544631,0.756667,0.324408,4-16B,8.97748579111647,10.4880282141244,12.051101629319,8.97748579111647,1,1,6.14285714285714,56-58-62-63,0-2-6-7,0.7785484194755554,0.9024993777275085,0.46804195642471313,0.25703898072242737,0.16131596267223358,0.7429609894752502,0.47138848900794983
114,tr44c,4.98706293706294,0.651258728,0.118903032,bowl18,3,tr44c,,,59,54,65,11,0.013234126984127,0.842879489623361,0.685685156085516,2.04939015319192,0.203838638708502,-4.16395103210989,61.9444392722449,0.269476444095973,0.887579514279756,1.84726413526152,0.973757402721062,4,1.0,0.689238913613299,0.769264,991.2,10.3594,0.557619,0.681333,0.538588,3-5A,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,4.85714285714286,54-59-65,0-5-11,0.42319294810295105,0.6411593556404114,0.49184587597846985,0.21755026280879974,0.302324503660202,0.7824497222900391,0.3890533447265625
115,te34c,4.98706293706294,0.877,0.16,bowl18,4,power chord + m2,,,58,55,67,12,0.15,0.898206959300817,0.709916008353518,2.04939015319192,0.208457789780092,-3.90689059560852,11.6546307990979,0.401749790763207,1.39004553093446,3.03593006379915,0.840931273960442,3,1.0,0.573433405511369,0.771325,1047.72,13.3561,0.588302,0.722217,1.01354,3-4A,8.97748579111647,10.0825631060162,12.051101629319,8.97748579111647,1,1,3.57142857142857,55-56-60-67,0-1-5-12,0.5411638617515564,0.6729199886322021,0.4988829493522644,0.2169523537158966,0.2830289602279663,0.783047616481781,0.5469419360160828
116,te66c,4.88321678321678,0.64,0.117,bowl18,4,te66c,,,60,57,63,6,0.0155555555555556,0.716686045757288,0.559941365521435,2.29128784747792,0.0982354012378967,-4.57480200459682,26.9416506280621,0.522773082023398,2.31641414332195,5.73847477422103,1.25189739711326,3,1.0,0.0542810689066457,0.779755,1104.25,8.23412,0.538932,0.737562,0.507846,4-21,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,57-59-61-63,0-2-4-6,0.8994154930114746,0.9758023023605347,0.4089507758617401,0.2756994962692261,0.12479840964078903,0.7243004441261292,0.4157484173774719
117,te210c,4.88321678321678,0.785,0.143,bowl18,4,power chord added M7,,,61,52,64,12,0.0366666666666667,0.898206959300817,0.709916008353518,2.04939015319192,0.223236598439131,-3.0,18.500573190789,0.346351712351328,1.36479967633603,3.28514758404925,1.05663710034076,3,1.0,0.663178860908085,0.767819,1159.09,10.576,0.751286,0.748473,0.434721,3-4B,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,7.42857142857143,52-59-63-64,0-7-11-12,0.45153099298477173,0.6413991451263428,0.6532739400863647,0.43725183606147766,0.3900611996650696,0.5627481937408447,0.5728506445884705
118,tr55c,4.88216783321678,0.827681987,0.151113365,bowl18,3,tr55c,,,60,53,64,11,0.216666666666667,0.898206959300817,0.709916008353518,2.04939015319192,0.284265248875643,-3.0,68.0019916122713,0.231179900582926,0.830618845912228,1.76616866658781,0.812154862352649,3,1.0,0.849758377604888,0.806819,1052.1,2.9396,0.728542,0.754101,0.598839,3-4B,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,53-60-64,0-7-11,0.33677977323532104,0.5280323624610901,0.5699388980865479,0.33790627121925354,0.41834312677383423,0.6620936989784241,0.4420758783817291
119,tr27c,4.77727272622378,0.678910554,0.123951542,bowl18,3,dimished triad (1),,,59,56,65,9,0.0116666666666667,0.727581329514965,0.587538205311478,2.50998007960223,0.256491482471771,-3.71190309536813,39.2893018380895,0.204458693078776,0.950724933223739,2.22321934585204,0.855705470077991,3,3.43773223440645,0.842135527640946,0.74072,990.864,7.11266,0.406394,0.661549,0.398472,3-10,4.64377597831346,5.91848520577946,7.57376481484081,4.64377597831346,1,1,4.85714285714286,56-59-65,0-3-9,0.3387739658355713,0.6703007817268372,0.4808082580566406,0.3186897337436676,0.32529550790786743,0.68131023645401,0.41494041681289673
120,tr48c,4.77727272622378,0.626062316,0.114302818,bowl18,3,dimished triad (2),,,61,55,64,9,0.04625,0.727581329514965,0.587538205311478,2.50998007960223,0.205688922838589,-3.62805683970281,52.4449259359978,0.189352666127715,0.930915543477585,2.16267630977447,0.948017603695526,3,3.27067796865568,0.849284174051019,0.753447,991.2,4.72646,0.360769,0.722602,0.720156,3-10,4.64377597831346,5.91848520577946,7.57376481484081,4.64377597831346,1,1,7.42857142857143,55-61-64,0-6-9,0.48005974292755127,0.7348537445068359,0.49250662326812744,0.2683044373989105,0.2664095461368561,0.7316955327987671,0.4032888412475586
121,te75c,4.77622377622378,0.728,0.133,bowl18,4,te75c,,,60,56,64,8,0.0593055555555556,0.728916578223825,0.644295763132923,2.36643191323985,0.0715769852845336,-5.4493718459691,25.4295319690724,0.391161351405941,2.07345260438781,5.06235868666086,1.2164868577876,3,4.86207893238274,0.689754523688003,0.800315,1172.21,5.18456,0.712721,0.780712,0.597111,4-27A,4.97985225373369,5.22017005506107,4.26829436647932,4.97985225373369,1,1,6.14285714285714,56-58-61-64,0-2-5-8,0.7655836939811707,0.9490963220596313,0.4996202886104584,0.31628578901290894,0.15705658495426178,0.6837142109870911,0.42152470350265503
122,te144c,4.77622377622378,0.679,0.124,bowl18,4,major triad (r) + tt,,,61,56,63,7,0.0777777777777778,0.712418541856751,0.617308583056919,2.16024689946929,0.0849133356496904,-4.67856137941653,17.4622158046733,0.528878563587568,2.21101965732759,5.60034376766932,1.14808730097907,1,3.06317911550661,0.250742818512215,0.770692,1049.41,10.0262,0.56257,0.746965,0.354136,4-29B,8.97748579111647,8.23673641551791,11.3579544487591,8.97748579111647,1,1,7.42857142857143,56-60-62-63,0-4-6-7,0.7478144764900208,0.9209475517272949,0.48186546564102173,0.24374715983867645,0.14493034780025482,0.7562528848648071,0.40994030237197876
123,te145c,4.77622377622378,0.679,0.124,bowl18,4,te145c,,,60,55,63,8,0.0151388888888889,0.713211751073517,0.555940435146082,2.36643191323985,0.0953325828267626,-4.69328480167992,30.24098034881,0.438423444678787,2.16246713559393,5.15742163270604,1.14846429509048,7,2.54165228100576,0.344611354750882,0.752799,990.864,8.46688,0.442575,0.681196,0.474462,4-24,8.97748579111647,6.82446656799475,5.92641823842481,8.97748579111647,2,0,6.14285714285714,55-59-61-63,0-4-6-8,0.8996602892875671,0.9675933718681335,0.4618557393550873,0.2898949086666107,0.1354019194841385,0.7101051211357117,0.37247273325920105
124,te167c,4.77622377622378,0.935,0.171,bowl18,4,te167c,,,60,55,64,9,0.0545833333333333,0.693042188490329,0.620735576199436,2.16024689946929,0.0801279035473334,-4.84400590385953,15.5570656762735,0.448263755614919,2.07858169776234,5.16113283785586,1.03518931649908,7,1.0,0.132902681914037,0.770344,1045.03,7.29027,0.445613,0.721054,0.721356,4-18A,8.97748579111647,8.54211806506909,9.48615227185748,8.97748579111647,2,0,6.14285714285714,55-60-61-64,0-5-6-9,0.7097570300102234,0.8882395625114441,0.5633509159088135,0.25264301896095276,0.16811348497867584,0.7473570108413696,0.37412065267562866
125,te180c,4.77622377622378,0.858,0.157,bowl18,4,te180c,,,61,54,64,10,0.0457142857142857,0.801958787793059,0.706575278810354,2.16024689946929,0.107074628145711,-3.35416639998386,18.500573190789,0.432746811943581,1.93123943531149,4.50133771140162,1.13071656050124,1,1.0,0.35190351850424,0.784575,1114.68,9.42763,0.878891,0.734516,0.388868,4-14B,8.97748579111647,5.17976051672319,12.051101629319,8.97748579111647,1,1,7.42857142857143,54-59-63-64,0-5-9-10,0.6105173230171204,0.8528604507446289,0.5136638283729553,0.35087117552757263,0.22863219678401947,0.6491288542747498,0.41679075360298157
126,te189c,4.77622377622378,0.817,0.149,bowl18,4,te189c,,,60,54,65,11,0.116666666666667,0.768208277291536,0.593454267320328,2.36643191323985,0.08633157164383,-4.92856137941653,15.5570656762735,0.486894397410634,1.90017434912778,4.50543201358734,1.04144375355808,4,1.0,0.204110543389742,0.779013,1054.45,10.8736,0.642768,0.711939,0.84118,4-8,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,54-60-61-65,0-6-7-11,0.6865435242652893,0.8295176029205322,0.5846846103668213,0.23617005348205566,0.1967574805021286,0.7638298869132996,0.39304789900779724
127,te196c,4.77622377622378,0.626,0.114,bowl18,4,te196c,,,60,53,64,11,0.0763888888888889,0.690686465348618,0.6227306588088,2.22287572090485,0.0514995584626641,-5.6172832549574,35.9627889954623,0.414826746276277,1.93613231994913,4.26723961815137,1.06336114466734,3,1.0,0.182877972815101,0.762695,991.873,6.66623,0.414456,0.67774,0.449628,4-13B,8.97748579111647,11.1811753946843,12.051101629319,8.97748579111647,1,1,6.14285714285714,53-59-62-64,0-6-9-11,0.7220095992088318,0.9044321179389954,0.41136783361434937,0.2733008861541748,0.1666611284017563,0.72669917345047,0.36788761615753174
